Chronologic VCS simulator copyright 1991-2011
Contains Synopsys proprietary information.
Compiler version E-2011.03_Full64; Runtime version E-2011.03_Full64;  Jan 25 15:04 2013
STARTING TESTBENCH!

  i=        271  reset=0  state=00  in=1  out=0  correct=1
  i=        272  reset=0  state=01  in=0  out=0  correct=1
  i=        273  reset=0  state=10  in=1  out=0  correct=1
  i=        274  reset=0  state=11  in=0  out=1  correct=1
  i=        275  reset=0  state=10  in=1  out=0  correct=1
  i=        276  reset=0  state=11  in=0  out=1  correct=1
  i=        277  reset=0  state=10  in=0  out=0  correct=1
  i=        278  reset=0  state=00  in=1  out=0  correct=1
  i=        279  reset=0  state=01  in=0  out=0  correct=1
  i=        280  reset=1  state=10  in=0  out=0  correct=1
  i=        281  reset=0  state=00  in=0  out=0  correct=1
  i=        282  reset=0  state=00  in=1  out=0  correct=1
  i=        283  reset=0  state=01  in=1  out=0  correct=1
  i=        284  reset=0  state=01  in=1  out=0  correct=1
  i=        285  reset=0  state=01  in=1  out=0  correct=1
  i=        286  reset=0  state=01  in=1  out=0  correct=1
  i=        287  reset=0  state=01  in=0  out=0  correct=1
  i=        288  reset=0  state=10  in=1  out=0  correct=1
  i=        289  reset=0  state=11  in=1  out=1  correct=1
  i=        290  reset=1  state=01  in=1  out=0  correct=1
  i=        291  reset=0  state=00  in=0  out=0  correct=1
  i=        292  reset=0  state=00  in=0  out=0  correct=1
  i=        293  reset=0  state=00  in=0  out=0  correct=1
  i=        294  reset=0  state=00  in=0  out=0  correct=1
  i=        295  reset=0  state=00  in=0  out=0  correct=1
  i=        296  reset=0  state=00  in=0  out=0  correct=1
  i=        297  reset=0  state=00  in=1  out=0  correct=1
  i=        298  reset=0  state=01  in=1  out=0  correct=1
  i=        299  reset=0  state=01  in=1  out=0  correct=1
  i=        300  reset=1  state=01  in=1  out=0  correct=1
  i=        301  reset=0  state=00  in=1  out=0  correct=1
  i=        302  reset=0  state=01  in=1  out=0  correct=1
  i=        303  reset=0  state=01  in=1  out=0  correct=1
  i=        304  reset=0  state=01  in=0  out=0  correct=1
  i=        305  reset=0  state=10  in=1  out=0  correct=1
  i=        306  reset=0  state=11  in=1  out=1  correct=1
  i=        307  reset=0  state=01  in=1  out=0  correct=1
  i=        308  reset=0  state=01  in=1  out=0  correct=1
  i=        309  reset=0  state=01  in=1  out=0  correct=1
  i=        310  reset=1  state=01  in=1  out=0  correct=1
  i=        311  reset=0  state=00  in=1  out=0  correct=1
  i=        312  reset=0  state=01  in=1  out=0  correct=1
  i=        313  reset=0  state=01  in=0  out=0  correct=1
  i=        314  reset=0  state=10  in=0  out=0  correct=1
  i=        315  reset=0  state=00  in=1  out=0  correct=1
  i=        316  reset=0  state=01  in=1  out=0  correct=1
  i=        317  reset=0  state=01  in=0  out=0  correct=1
  i=        318  reset=0  state=10  in=0  out=0  correct=1
  i=        319  reset=0  state=00  in=0  out=0  correct=1
  i=        320  reset=1  state=00  in=0  out=0  correct=1
  i=        321  reset=0  state=00  in=1  out=0  correct=1
  i=        322  reset=0  state=01  in=0  out=0  correct=1
  i=        323  reset=0  state=10  in=0  out=0  correct=1
  i=        324  reset=0  state=00  in=0  out=0  correct=1
  i=        325  reset=0  state=00  in=0  out=0  correct=1
  i=        326  reset=0  state=00  in=0  out=0  correct=1
  i=        327  reset=0  state=00  in=0  out=0  correct=1
  i=        328  reset=0  state=00  in=1  out=0  correct=1
  i=        329  reset=0  state=01  in=0  out=0  correct=1
  i=        330  reset=1  state=10  in=0  out=0  correct=1
  i=        331  reset=0  state=00  in=1  out=0  correct=1
  i=        332  reset=0  state=01  in=0  out=0  correct=1
  i=        333  reset=0  state=10  in=0  out=0  correct=1
  i=        334  reset=0  state=00  in=0  out=0  correct=1
  i=        335  reset=0  state=00  in=0  out=0  correct=1
  i=        336  reset=0  state=00  in=1  out=0  correct=1
  i=        337  reset=0  state=01  in=1  out=0  correct=1
  i=        338  reset=0  state=01  in=1  out=0  correct=1
  i=        339  reset=0  state=01  in=1  out=0  correct=1
  i=        340  reset=1  state=01  in=1  out=0  correct=1
  i=        341  reset=0  state=00  in=0  out=0  correct=1
  i=        342  reset=0  state=00  in=1  out=0  correct=1
  i=        343  reset=0  state=01  in=1  out=0  correct=1
  i=        344  reset=0  state=01  in=1  out=0  correct=1
  i=        345  reset=0  state=01  in=0  out=0  correct=1
  i=        346  reset=0  state=10  in=1  out=0  correct=1
  i=        347  reset=0  state=11  in=0  out=1  correct=1
  i=        348  reset=0  state=10  in=0  out=0  correct=1
  i=        349  reset=0  state=00  in=1  out=0  correct=1
  i=        350  reset=1  state=01  in=1  out=0  correct=1
  i=        351  reset=0  state=00  in=0  out=0  correct=1
  i=        352  reset=0  state=00  in=1  out=0  correct=1
  i=        353  reset=0  state=01  in=0  out=0  correct=1
  i=        354  reset=0  state=10  in=0  out=0  correct=1
  i=        355  reset=0  state=00  in=1  out=0  correct=1
  i=        356  reset=0  state=01  in=0  out=0  correct=1
  i=        357  reset=0  state=10  in=0  out=0  correct=1
  i=        358  reset=0  state=00  in=0  out=0  correct=1
  i=        359  reset=0  state=00  in=0  out=0  correct=1
  i=        360  reset=1  state=00  in=1  out=0  correct=1
  i=        361  reset=0  state=00  in=1  out=0  correct=1
  i=        362  reset=0  state=01  in=1  out=0  correct=1
  i=        363  reset=0  state=01  in=1  out=0  correct=1
  i=        364  reset=0  state=01  in=0  out=0  correct=1
  i=        365  reset=0  state=10  in=1  out=0  correct=1
  i=        366  reset=0  state=11  in=1  out=1  correct=1
  i=        367  reset=0  state=01  in=1  out=0  correct=1
  i=        368  reset=0  state=01  in=1  out=0  correct=1
  i=        369  reset=0  state=01  in=1  out=0  correct=1
  i=        370  reset=1  state=01  in=1  out=0  correct=1
  i=        371  reset=0  state=00  in=1  out=0  correct=1
  i=        372  reset=0  state=01  in=0  out=0  correct=1
  i=        373  reset=0  state=10  in=1  out=0  correct=1
  i=        374  reset=0  state=11  in=0  out=1  correct=1
  i=        375  reset=0  state=10  in=1  out=0  correct=1
  i=        376  reset=0  state=11  in=0  out=1  correct=1
  i=        377  reset=0  state=10  in=0  out=0  correct=1
  i=        378  reset=0  state=00  in=1  out=0  correct=1
  i=        379  reset=0  state=01  in=0  out=0  correct=1
  i=        380  reset=1  state=10  in=0  out=0  correct=1
  i=        381  reset=0  state=00  in=0  out=0  correct=1
  i=        382  reset=0  state=00  in=0  out=0  correct=1
  i=        383  reset=0  state=00  in=0  out=0  correct=1
  i=        384  reset=0  state=00  in=1  out=0  correct=1
  i=        385  reset=0  state=01  in=0  out=0  correct=1
  i=        386  reset=0  state=10  in=0  out=0  correct=1
  i=        387  reset=0  state=00  in=0  out=0  correct=1
  i=        388  reset=0  state=00  in=0  out=0  correct=1
  i=        389  reset=0  state=00  in=0  out=0  correct=1
  i=        390  reset=1  state=00  in=0  out=0  correct=1
  i=        391  reset=0  state=00  in=1  out=0  correct=1
  i=        392  reset=0  state=01  in=0  out=0  correct=1
  i=        393  reset=0  state=10  in=1  out=0  correct=1
  i=        394  reset=0  state=11  in=0  out=1  correct=1
  i=        395  reset=0  state=10  in=0  out=0  correct=1
  i=        396  reset=0  state=00  in=1  out=0  correct=1
  i=        397  reset=0  state=01  in=0  out=0  correct=1
  i=        398  reset=0  state=10  in=1  out=0  correct=1
  i=        399  reset=0  state=11  in=1  out=1  correct=1
ENDING TESTBENCH : SUCCESS !

$finish called from file "test_ab.v", line 119.
$finish at simulation time                 4090
           V C S   S i m u l a t i o n   R e p o r t 
Time: 4090
CPU Time:      0.150 seconds;       Data structure size:   0.2Mb
Fri Jan 25 15:04:50 2013
